DEFAULT_CLOCK,di[0],di[1],di[2],di[3],di[4],di[5],di[6],di[7],do[0],do[1],do[2],do[3],do[4],do[5],do[6],do[7]
0,0,0,1,0,0,1,2,2,0,0,1,0,0,1,2,2
0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1
0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1
0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1
0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1
0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1
0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1
0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1
0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1
0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1
0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1
0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1
0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1
0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1
0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1
0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1
0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1
0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1
0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1
0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1
0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1
0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1
0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1
0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1
0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1
0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1
0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1
0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1
0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1
0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1
0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1
0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1
0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1
0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1
0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1
0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1
0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1
0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1
0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1
0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1
0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1
0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1
0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1
0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1
0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1
0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1
0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1
0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1
0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1
0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1
0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1
0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1
0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1
0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1
0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1
0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1
0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1
0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1
0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1
0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1
0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1
0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1
0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1
0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1
0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1
0,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1
0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1
0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1
0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1
0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1
0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1
0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1
0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1
0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1
0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1
0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1
0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1
0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1
0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1
0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1
0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1
0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1
0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1
0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1
0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1
0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1
0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1
0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1
0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1
0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1
0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1
0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1
0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1
0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1
0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1
0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1
0,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1
0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1
0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1
0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1
0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1
0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1
0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1
0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1
0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1
0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1
0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1
0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1
0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1
0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1
0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1
0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1
0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1
0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1
0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1
0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1
0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1
0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1
0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1
0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1
0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1
0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1
0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1
0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1
0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1
0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1
0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1
0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1
0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1
0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1
0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1
0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1
0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1
0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1
0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1
0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1
0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1
0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1
0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1
0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,1
0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1
0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1
0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1
0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1
0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1
0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1
0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1
0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,1
0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
0,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1
0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1
0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1
0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1
0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1
0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1
0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1
0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1
0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1
0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1
0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1
0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1
0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1
0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1
0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1
0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1
0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1
0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1
0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1
0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1
0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1
0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1
0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1
0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1
0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1
0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1
0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1
0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1
0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1
0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1
0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1
0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1
0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1
0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1
0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1
0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1
0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1
0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1
0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1
0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1
0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1
0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1
0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,1
0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1
0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1
0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1
0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1
0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1
0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1
0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1
0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1
0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1
0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1
0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1
0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1
0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1
0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1
0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1
0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1
0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1
0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1
0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1
0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1
0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1
0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1
0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1
0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1
0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1
0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1
0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1
0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1
0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1
0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1
0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1
0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1
0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1
0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1
0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1
0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1
0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1
0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1
0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1
0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1
0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1
0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1
0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1
0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1
0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1
0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1
0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1
0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1
0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1
0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,1
0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1
0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1
0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1
0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1
0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1
0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1
0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1
0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1
0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1
0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1
0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1
0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1
0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1
0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1
0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1
0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1
0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1
0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1
0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1
0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1
0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1
0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1
0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1
0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1
0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1
0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1
0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1
0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1
0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1
0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1
0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1
0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1
0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1
0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1
0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1
0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1
0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1
0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1
0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1
0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1
0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1
0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1
0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1
0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1
0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1
0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1
0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1
0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1
0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,1
0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1
0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1
0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1
0,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1
0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1
0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1
0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1
0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1
0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1
0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1
0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1
0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1
0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1
0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,1
0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
